image1_x,image1_y,image2_x,image2_y
422,322,417,319
462,299,461,297
450,326,445,323
404,299,404,293
474,325,469,328
447,67,451,62
130,258,130,251
450,315,446,312
441,313,436,309
416,37,421,32
186,253,185,244
111,266,110,259
221,233,221,226
384,284,384,278
158,251,158,243
474,80,478,76
436,55,441,50
267,323,261,314
99,271,98,264
324,342,317,334
484,87,488,83
490,336,484,339
508,321,512,323
491,343,486,346
497,309,501,311
525,107,527,104
504,107,507,104
512,306,517,308
559,140,560,137
851,226,850,227
497,97,500,93
481,285,485,293
708,119,709,118
490,92,493,88
499,317,500,321
769,171,769,171
731,139,732,139
550,227,550,225
591,11,597,8
644,67,647,65
330,436,330,434
103,629,101,627
209,499,208,499
103,662,104,660
73,647,72,643
90,625,87,622
176,561,176,560
183,388,176,379
79,626,77,623
42,520,40,521
191,518,189,518
149,448,142,445
227,410,218,406
387,402,389,400
52,506,50,507
150,418,145,411
285,451,282,450
183,541,182,540
191,402,183,393
84,678,81,672
111,626,110,625
395,399,395,398
198,411,198,407
193,504,188,500
338,436,338,434
216,502,215,502
90,599,90,598
230,466,235,459
308,450,297,451
221,488,220,488
86,651,87,646
168,423,158,417
160,423,154,416
211,425,213,417
465,361,463,362
163,600,166,598
113,718,113,718
207,404,207,400
84,718,80,719
112,619,111,618
239,389,224,378
186,595,186,594
141,371,135,363
201,495,200,495
343,422,344,419
59,505,57,506
112,653,112,652
291,413,277,402
155,472,148,472
208,525,212,519
214,413,218,408
133,607,132,606
173,432,162,427
334,413,340,408
67,629,65,626
84,643,83,639
202,508,201,507
229,484,228,484
176,588,176,587
92,633,89,630
775,418,774,418
594,712,594,711
940,610,939,610
634,665,634,664
852,460,851,460
773,693,773,692
613,702,612,701
505,706,504,706
570,682,569,681
576,718,575,717
612,679,611,678
573,705,573,704
815,443,814,442
936,595,936,594
584,697,584,696
824,447,823,446
658,686,657,685
817,658,817,658
574,689,573,688
760,684,760,683
